method	Ar	Bn	En	Fi	In	Ja	Ko	Ru	Sw	Te	Th
BM25	0.368	0.418	0.140	0.284	0.376	0.211	0.285	0.313	0.336	0.259	0.402
BM25-tuned	0.366	0.413	0.150	0.287	0.382	0.217	0.280	0.329	0.341	0.330	0.417
mDPR	0.253	0.263	0.152	0.109	0.144	0.180	0.202	0.180	0.071	0.095	0.132
hybrid	0.488	0.531	0.276	0.362	0.456	0.344	0.350	0.416	0.341	0.353	0.494
mDPR-all-data	0.547	0.544	0.342	0.299	0.362	0.391	0.378	0.324	0.292	0.729	0.391
hybrid	0.684	0.656	0.451	0.510	0.575	0.507	0.481	0.507	0.450	0.798	0.639
mDPR-sampled-data	0.488	0.479		0.302	0.331	0.286	0.301		0.271	0.616	0.330
no-arabic	0.404	0.418		0.230	0.291	0.278	0.301		0.214	0.574	0.253
no-bengali	0.487	0.434		0.271	0.323	0.311	0.329		0.270	0.699	0.276
no-english	0.472	0.433		0.266	0.297	0.315	0.307		0.227	0.709	0.303
no-finnish	0.474	0.474		0.265	0.305	0.326	0.332		0.269	0.586	0.319
no-indonesian	0.536	0.502		0.308	0.324	0.337	0.340		0.262	0.708	0.328
no-japanese	0.514	0.491		0.279	0.331	0.341	0.356		0.264	0.715	0.316
no-korean	0.455	0.398		0.238	0.270	0.283	0.318		0.208	0.617	0.283
no-russian	0.437	0.430		0.242	0.275	0.257	0.312		0.232	0.659	0.320
no-swahili	0.493	0.469		0.289	0.317	0.293	0.315		0.246	0.678	0.353
no-telugu	0.475	0.421		0.248	0.313	0.302	0.319		0.245	0.616	0.311
no-thai	0.491	0.434		0.273	0.316	0.311	0.329		0.279	0.657	0.277
